Line,PLC_STATION_ID,REASON_CODE,COUNT
L1_SA_SU,1,2,2
L1_SA_SU,1,5,3
L1_SA_SU,2,0,5
L1_SA_SU,2,10,1
L1_SA_SU,2,11,1
L1_SA_SU,2,16,2
L1_SA_SU,3,21,3
L1_SA_SU,3,26,1
L1_SA_SU,4,33,3
L1_SA_SU,5,0,1
L1_SA_SU,6,53,3
L1_SA_SU,7,61,1
L1_SA_SU,7,66,2
L1_SA_SU,8,73,11
L1_SA_SU,8,76,1
L2_SA_MU,1,0,1
L2_SA_MU,1,5,3
L2_SA_MU,2,0,4
L2_SA_MU,2,11,2
L2_SA_MU,2,15,1
L2_SA_MU,3,21,3
L2_SA_MU,3,25,2
L2_SA_MU,3,26,4
L2_SA_MU,4,30,1
L2_SA_MU,4,34,5
L2_SA_MU,4,35,3
L2_SA_MU,5,43,3
L2_SA_MU,5,45,1
L2_SA_MU,7,73,15
